ID	CNPJ	Nome Reduzido	Município	CEP	Bairro	Logradouro	Número	Complemento	Telefone	Email	Vagas Estacionamento	Coordenador Regional	Coordenador Distrital	Servidor IP	UF
0	66023855000146	UNICA	PASSO FUNDO	00000000	CENTRO	0	0		11111111111	1		PEDRO HENRIQUE KAPPAUN BRAIR	PEDRO HENRIQUE KAPPAUN BRAIR		RS
1	88212113000363	NOVA PRATA 1	NOVA PRATA	95320000	CENTRO	AV ADOLFO SCHNEIDER	175		5432424646	NOVAPRATA@FARMACIASSAOJOAO.COM.BR	11	EDUARDO WELTER BRAND	FABIO CHIES BALDASSO	10.0.1.254	RS
2	88212113000444	MARAU 1	MARAU	99150000	CENTRO	AV JULIO BORELLA	947		5433421483	marau@farmaciassaojoao.com.br	22	GESSICA PERIN	FAIS HUSEIN ABDALLA	10.0.2.254	RS
3	88212113000525	PALMEIRA 1	PALMEIRA DAS MISSOES	98300000	CENTRO	AV INDEPENDENCIA	1110		5537427070	palmeira@farmaciassaojoao.com.br	20	GIOVANI DA COSTA SISTI	FAIS HUSEIN ABDALLA	10.0.3.254	RS
4	88212113000606	VERANOPOLIS 1	VERANOPOLIS	95330000	CENTRO	AV JULIO DE CASTILHOS	795	SL FARMACI	5434418181	veranopolis@farmaciassaojoao.com.br	0	EDUARDO WELTER BRAND	FABIO CHIES BALDASSO	10.0.4.254	RS
5	88212113000797	TRES PASSOS 1	TRES PASSOS	98600000	CENTRO	AV JULIO DE CASTILHOS	1060		5535221010	trespassos@farmaciassaojoao.com.br	15	GRACIELE SILVEIRA	FAIS HUSEIN ABDALLA	10.0.5.254	RS
9	88212113001173	CARAZINHO 1	Carazinho	99500000	CENTRO	AV FLORES DA CUNHA	1763		5433294646	carazinho@farmaciassaojoao.com.br	0	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.9.254	RS
10	88212113001254	ERECHIM 2	ERECHIM	99700012	CENTRO	AV MAURICIO CARDOSO	172		5435227575	notaeletronica@farmaciassaojoao.com.br	0	GESSICA PERIN	FAIS HUSEIN ABDALLA	10.0.10.254	RS
11	88212113001335	PF VERA CRUZ 3	PASSO FUNDO	99040010	VERA CRUZ	AV MAOCIR DA MOTTA FORTES	176	SL 01	5436325226	veracruz3@farmaciassaojoao.com.br	5	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.11.254	RS
12	88212113001416	PF PETROPOLIS 1	PASSO FUNDO	99050144	PETROPOLIS	AV BRASIL LESTE	1150		5433272350	petropolis@farmaciassaojoao.com.br	8	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.12.254	RS
13	88212113001688	SARANDI 1 RS	SARANDI	99560000	CENTRO	AV EXPEDICIONARIO	1243		5433614949	sarandi@farmaciassaojoao.com.br	0	GRACIELE SILVEIRA	FAIS HUSEIN ABDALLA	10.0.13.254	RS
14	88212113001505	PF GENERAL NETTO 1	PASSO FUNDO	99010021	CENTRO	AV GENERAL NETTO	390		5433112373	gneto@farmaciassaojoao.com.br	0	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.14.254	RS
16	88212113001840	PF CAP ELEUTERIO 1	PASSO FUNDO	99010060	CENTRO	R CAPITAO ELEUTERIO ESQ COM AV. BRASIL	500		5433137272	brasil98@farmaciassaojoao.com.br	0	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.16.254	RS
17	88212113001920	TRES PASSOS 2	TRES PASSOS	98600000	CENTRO	AV JULIO DE CASTILHO	1373		5535223050	trespassos2@farmaciassaojoao.com.br	15	GRACIELE SILVEIRA	FAIS HUSEIN ABDALLA	10.0.17.254	RS
18	88212113002064	CONCORDIA 1	CONCORDIA	89700055	CENTRO	AV MARECHAL DEODORO	952		4934446565	concordia@farmaciassaojoao.com.br	0	PRISCILA MACHADO	FAIS HUSEIN ABDALLA	10.0.18.254	SC
19	88212113002145	JOACABA 1	JOACABA	89600000	CENTRO	RUA 15 DE NOVEMBRO	319		4935212525	joacaba@farmaciassaojoao.com.br	5	SAMANTHA DIAS LIMA	FAIS HUSEIN ABDALLA	10.0.19.254	SC
20	88212113002226	LAGOA VERMELHA 1	LAGOA VERMELHA	95300000	CENTRO	RUA SETE DE SETEMBRO	677	LJ 01	5433585050	lagoa@farmaciassaojoao.com.br	10	GESSICA PERIN	FAIS HUSEIN ABDALLA	10.0.20.254	RS
22	88212113002307	PF SAO CRISTOVAO 1	PASSO FUNDO	99064000	SAO CRISTOVAO	AV PRESIDENTE VARGAS	2125	FARMACIA LOJA 05	5433152555	saocristovao@farmaciassaojoao.com.br	70	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.22.254	RS
23	88212113002579	STA ROSA 1	SANTA ROSA	98780738	CENTRO	AV RIO BRANCO	345		5535130070	santarosa@farmaciassaojoao.com.br	0	EVERTON JOSE ELEGDA	JULIANO PETRACA IRUZUN	10.0.23.254	RS
24	88212113002650	VACARIA 1	VACARIA	95200037	CENTRO	RUA MARECHAL FLORIANO	375	SL 01	5432320533	vacaria@farmaciassaojoao.com.br	0	RAFAEL DOS SANTOS DRUZZIAN	FABIO CHIES BALDASSO	10.0.24.254	RS
25	88212113002730	PF BOQUEIRAO 1	PASSO FUNDO	99025364	BOQUEIRAO	AV BRASIL OESTE	2236	ESQ RUA DIOGO DE OLIVEIRA	5433157112	boqueirao@farmaciassaojoao.com.br	10	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.25.254	RS
26	88212113002811	PF BENTO 2	PASSO FUNDO	99010010	CENTRO	RUA BENTO GONCALVES	173	FARMACIA	5433115826	bento2@farmaciassaojoao.com.br	16	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.26.254	RS
27	88212113003036	SANTIAGO 1	SANTIAGO	97700365	CENTRO	AV GETULIO VARGAS	1971		5532519797	santiago@farmaciassaojoao.com.br	0	ANDRESSA NUNES BIASI	JULIANO PETRACA IRUZUN	10.0.27.254	RS
28	88212113002900	CARAZINHO 2	Carazinho	99500000	CENTRO	RUA ALFERES RODRIGO	91		5433309797	carazinho2@farmaciassaojoao.com.br	0	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.28.254	RS
29	88212113003117	CHAPECO 2	CHAPECO	89802130	CENTRO	AV PORTO ALEGRE	183		4933247676	chapeco2@farmaciassaojoao.com.br	0	PRISCILA MACHADO	FAIS HUSEIN ABDALLA	10.0.29.254	SC
30	88212113003206	STA MARIA 1	SANTA MARIA	97015002	CENTRO	RUA DR BOZANO	1026		5532231754	santamaria@farmaciassaojoao.com.br	0	MONICA GRACIELA FERNANDES DA SILVEIRA	TIAGO ANGELO MACHADO	10.0.30.254	RS
31	88212113003389	STA MARIA 2	SANTA MARIA	97050003	CENTRO	RUA DO ACAMPAMENTO	545		5532253499	santamaria2@farmaciassaojoao.com.br	0	MONICA GRACIELA FERNANDES DA SILVEIRA	TIAGO ANGELO MACHADO	10.0.31.254	RS
32	88212113003460	STA MARIA 3	SANTA MARIA	97010423	CENTRO	AV RIO BRANCO	793		5532221717	santamaria3@farmaciassaojoao.com.br	0	MONICA GRACIELA FERNANDES DA SILVEIRA	TIAGO ANGELO MACHADO	10.0.32.254	RS
33	88212113003540	PF TEIXEIRA 1	PASSO FUNDO	99010081	CENTRO	RUA TEIXEIRA SOARES	879	LJ 01 E 03	5433135183	teixeira@farmaciassaojoao.com.br	0	CAMILA COLETTO MAY	FAIS HUSEIN ABDALLA	10.0.33.254	RS
34	88212113003621	CACHOEIRA 1	CACHOEIRA DO SUL	96508750	CENTRO	R QUINZE DE NOVEMBRO	256		5137224634	cachoeira@farmaciassaojoao.com.br	0	JESSICA LETICIE FERREIRA INOCENTI	TIAGO ANGELO MACHADO	10.0.34.254	RS
35	88212113003702	VACARIA 2	VACARIA	95200058	CENTRO	RUA RAMIRO BARCELOS	1108		5432321717	vacaria2@farmaciassaojoao.com.br	0	RAFAEL DOS SANTOS DRUZZIAN	FABIO CHIES BALDASSO	10.0.35.254	RS
36	88212113003893	GUAIBA 1	GUAIBA	92704555	CENTRO	RUA SAO JOSE	645	LJ 01	5134917272	guaiba@farmaciassaojoao.com.br	0	FERNANDA JARDIM MEIRELES	LARISSA TAMARA DOS SANTOS	10.0.36.254	RS
37	88212113003974	SAO MARCOS 1	SAO MARCOS	95190000	CENTRO	AV VENANCIO AIRES	1078		5432912311	saomarcos@farmaciassaojoao.com.br	2	RAFAEL DOS SANTOS DRUZZIAN	FABIO CHIES BALDASSO	10.0.37.254	RS
38	88212113004008	URUGUAIANA 1	URUGUAIANA	97501584	CENTRO	RUA DUQUE DE CAXIAS	1770		5534111600	uruguaiana1@farmaciassaojoao.com.br	8	RAFAEL GAYER MENDES	JULIANO PETRACA IRUZUN	10.0.38.254	RS
39	88212113004199	PF FAGUNDES 1	PASSO FUNDO	99010070	CENTRO	RUA FAGUNDES DOS REIS	596		5435811717	fagundes@farmaciassaojoao.com.br	14	FABIANE POETINI LEITE	FAIS HUSEIN ABDALLA	10.0.39.254	RS
40	88212113004270	STA CRUZ 1	SANTA CRUZ DO SUL	96810072	CENTRO	RUA FERNANDO ABOTT	280		5137119797	santacruz@farmaciassaojoao.com.br	0	PEDRO WUNDERLICH BORGES	TIAGO ANGELO MACHADO	10.0.40.254	RS
41	88212113004350	RIO GRANDE 1	RIO GRANDE	96200370	CENTRO	RUA GENERAL BACELAR	433		5332311800	riogrande@farmaciassaojoao.com.br	0	DIENE MARIENE DE ARAUJO SOARES	JULIANO PETRACA IRUZUN	10.0.41.254	RS
42	88212113004512	PELOTAS 1	PELOTAS	96020080	CENTRO	RUA ANDRADE NEVES	1669		5332221360	pelotas1@farmaciassaojoao.com.br	0	ARON PIRES MONTEIRO	JULIANO PETRACA IRUZUN	10.0.42.254	RS
43	88212113004431	SAO GABRIEL 1	SAO GABRIEL	97300222	CENTRO	RUA CORONEL SEZEFREDO	725		5521630004	saogabriel@farmaciassaojoao.com.br	0	ANDRESSA NUNES BIASI	JULIANO PETRACA IRUZUN	10.0.43.254	RS
